"taxon_name","accepted_name","ref_author","ref_pubyr","primary_reference","phylum","class","order","family","genus","reference_no","taxon_no","data_enterer","zoobank","ref_language","group","taxon_status","type_locality","type_country","country_reposited","institution_reposited","holotype_number..separate.by...if.multiple.","sp_named_after","sp_language..if.another.language.but.latin.used.","sp_if_person_name","sp_if_person_gender","sp_gender_notes","sp_if_person_country","sp_if_person_country_notes","sp_notes","gen_named_after","gen_language..if.another.language.but.latin.used.","gen_if_person_name","gen_if_person_gender","gen_gender_notes","gen_if_person_country","gen_if_person_country_notes","gen_notes","affiliations_of_authors..separated.by...","countries_of_authors..separated.by...","modified.by","data_from_alternative_source","comments","genus_cleaned","category"
"Daspletosaurus horneri","Daspletosaurus horneri","Carr et al.",2017,"T. D. Carr, D. J. Varricchio, and J. C. Sedlmayr, E. M. Roberts, J. R. Moore. 2017. A new tyrannosaur with evidence for anagenesis and crocodile-like facial sensory system. Scientific Reports 7:44942:1-11","Chordata","Saurischia","Avetheropoda","Tyrannosauridae","Daspletosaurus",62031,351539,"William Foster",NA,"","dinosauria","valid","Glacier County (Co.), Lewis and Clark Co., and Teton Co., Montana, USA","USA","USA","Museum of the Rockies, Bozeman","MOR 590","person","N/A","Jack Horner","male","based on paper","USA","inferred from paper","Horneri, Latinized form of Horner, in honor of Jack Horner, in recognition of his successful field program in the Two Medicine Formation that has recovered many new species of dinosaurs that are critical for our understanding of the palaeobiology of dinosaurs in Laramidia, support in the preparation and curation of these specimens, and to acknowledge that his mentoring efforts have launched many professional scientific careers.","other","Greek","","","","","","""Frightful lizard""","USA; USA; USA; Australia; USA","USA; USA; USA; Australia; USA","",FALSE,"","Daspletosaurus","sp"
"Datanglong guangxiensis","Datanglong guangxiensis","Mo et al.",2014,"J. Mo, F. Zhou, and G. Li, Z. Huang, C. Cao. 2014. A new Carcharodontosauria (Theropoda) from the Early Cretaceous of Guangxi, Southern China. Acta Geologica Sinica 88(4):1051-1059","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Datanglong",52501,304521,"William Foster",NA,"","dinosauria","valid","Nazao village, 21 km southwest of Datang Town, Nanning City, Guangxi","China","China","The Geological Museum of Guangxi Zhuang Autonomous Region","GMG 00001","location/geography","Chinese","","","","","","guangxi, after the province of Guangxi","location/geography","","","","","","","Datang, pinyin, in reference to the fossil locality in datang Town and Datang basin","China; China; China; China; China","China; China; China; China; China","",FALSE,"","Datanglong","sp"
"Datonglong tianzhenensis","Datonglong tianzhenensis","Xu et al.",2016,"S.-C. Xu, H.-L. You, and J.-W. Wang, S.-Z. Wang, J. Yi, L. Jia. 2016. A new hadrosauroid dinosaur from the Late Cretaceous of Tianzhen, Shanxi Province, China. Vertebrata PalAsiatica 54(1):67-78","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Datonglong",58690,338861,"Thomas Halliday","","","dinosauria","valid","Kangdailang Quarry, Tianzhen County, Datong, Shanxi","China","China","Shanxi Museum of Geology","SXMG V 00005","location/geography","Chinese","","","","","","Tianzhen after Tianzhen County, where the material is discovered.","location/geography","Chinese","","","","","","Datong City, where the fossil was discovered, with the Chinese suffix ""long"" for ""dragon"".","China; China; Russia; China; China; China","China; China; Russia; China; China; China","",FALSE,"","Datonglong","sp"
"Datousaurus bashanensis","Datousaurus bashanensis","Dong and Tang",1984,"Z. Dong and Z. Tang. 1984. [Note on a new Mid-Jurassic sauropod (Datousaurus bashanensis gen. et sp. nov.) from Sichuan Basin, China]. Vertebrata PalAsiatica 22(1):69-75","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Datousaurus",7755,52771,"William Foster",NA,"Chinese","dinosauria","valid","Dashanpu quarry, Zigong, Sichuan","China","China","Institute of vertebrate paleontology and paleoanthropology Academia Sinica","IVPP V 7262","location/geography","","","","","","","""the species name Bashan, Sichuan is popularly known as Bashan Shushui, so it is used to show the province of fossil production""","morphological characteristics","Malay","","","","","","""The root of the genus name is translated from Malay, meaning ""Chieftain"", ""Da tou"" in Chinese. ""Big head"" just means that the animal has a huge head""","China; China","China; China","Thomas Halliday (sorted etymology)",FALSE,"","Datousaurus","sp"
"Daurosaurus olovus","Daurosaurus olovus","Alifanov and Saveliev",2014,"V. R. Alifanov and S. V. Saveliev. 2014. Two new ornithischian dinosaurs (Hypsilophodontia, Ornithopoda) from the Late Jurassic of Russia. Paleontological Journal 48(4):414-425","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Hypsilophodontidae","Daurosaurus",67730,374226,"William Foster","","","dinosauria","valid","Transbaikalian Region, Chernyshevskii District, Orlovskaya Depression, Kulinda locality","Russia","Russia","Borissjak Paleontological Institute of the Russian Academy of Sciences; Moscow","PIN, no. 5434/1","location/geography","N/A","","","","","","From the Olov River flowing in the vicinity of the locality","location/geography","Ancient Russian","","","","","","From Dauria, ancient Russian name of western areas of Transbaikalia and eastern areas of the Amur Region, and the Greek sauros (lizard).","Russia; Russia","Russia; Russia","",FALSE,"","Daurosaurus","sp"
"Daxiatitan binglingi","Daxiatitan binglingi","You et al.",2008,"H.-l. You, D.-q. Li, and L.-q. Zhou, Q. Ji. 2008. Daxiatitan binglingi: a giant sauropod dinosaur from the Early Cretaceous of China. Gansu Geology 17(4):1-10","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Daxiatitan",30807,154996,"William Foster",NA,"Chinese & English","dinosauria","valid","southeastern part of Lanzhou Basin, Gansu Province,","China","China","Fossil Research and Development Center of Third Geology and Mineral Resources Exploration Academy of Gansu Provincial Bureau of Geo -exploration and Mineral Development","GSLTZP03-001","other","Tibetan","","","","","","“Bingling” (Tibetan): one hundred thousand Buddhas, referring to Bingling Temple, a famous  attraction near the Liujiaxia Dam along the Yellow River, about 80 km southwest of Lanzhou, the capital city of Gansu Province.","location/geography","Chinese","","","","","","“Daxia” (Chinese): name of a branch of the Yellow River runs along the Linxia area of Gansu Province where the fossils were discovered. “Titan” (Greek): refers to Greek mythological giants, symbolic of its great size.","China; China; China; China","China; China; China; China","",FALSE,"","Daxiatitan","sp"
"Defarrariischnium mapuchensis","Defarrariischnium mapuchensis","Calvo",1991,"J. O. Calvo. 1991. Huellas de dinosaurios en la Formación Río Limay (Albiano-Cenomaniano?), Picun Leufú, Provincia de Neuquén, Republica Argentina. (Ornithischia-Saurischia: Sauropoda-Theropoda) [Dinosaur footprints in the Río Limay Formation (Albian-Cenomanian?), Picun Leufú, Neuquén Province, Argentine Republic. (Ornithischia-Saurischia: Sauropoda-Theropoda)]. Ameghiniana 28(3-4):241-258","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Defarrariischnium",33899,171008,"Thomas Halliday","","Spanish","trace","","Level 4 of the locality, near Picun Leufu, Neuquen","Argentina","Argentina","Museo de la Universidad Nacional del Comahue","MUCPv 62 (original in situ)","group","","Mapuche people","","","","","""from the land of the Mapuche, who live in this part of Patagonia""","person","","Professor Oscar de Ferrariis,","","","","","Director and founder of the Museo de Ciencias Naturales de la Universidad Nacional del Comahue","Argentina","Argentina","",FALSE,"","Defarrariischnium","sp"
"Deferrariischnium mapuchensis","Deferrariischnium mapuchensis","Calvo",1991,"J. O. Calvo. 1991. Huellas de dinosaurios en la Formación Río Limay (Albiano-Cenomaniano?), Picun Leufú, Provincia de Neuquén, Republica Argentina. (Ornithischia-Saurischia: Sauropoda-Theropoda) [Dinosaur footprints in the Río Limay Formation (Albian-Cenomanian?), Picun Leufú, Neuquén Province, Argentine Republic. (Ornithischia-Saurischia: Sauropoda-Theropoda)]. Ameghiniana 28(3-4):241-258","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Deferrariischnium",33899,171008,"","","","trace","","","","","","","","","","","","","","","person","","Professor Oscar de Ferrariis,","","","","","Typographic error for Director and founder of the Museo de Ciencias Naturales de la Universidad Nacional del Comahue","Argentina","Argentina","",FALSE,"","Deferrariischnium","sp"
"Deinocheirus mirificus","Deinocheirus mirificus","Kielan-Jaworowska",1969,"Z. Kielan-Jaworowska. 1969. Fossils from the Gobi desert. Science Journal 5(1):32-38","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Deinocheirus",63354,57246,"Thomas Halliday","","English","dinosauria","valid","Altan Ula III, Nemegt Basin, Gobi Desert","Mongolia","Poland","Palaeontological Institute, Warsaw","ZPAL MgD1/6","other","","","","","","","""unusual, peculiar""","morphological characteristics","Greek","","","","","","""Horrible hand""","Poland; Poland","Poland; Poland","",FALSE,"Actually defined in Osmolska and Roniewicz 1970","Deinocheirus","sp"
"Deinonychus antirrhopus","Deinonychus antirrhopus","Ostrom",1969,"J. H. Ostrom. 1969. A new theropod dinosaur from the Lower Cretaceous of Montana. Postilla 128:1-17","Chordata","Saurischia","Avetheropoda","Dromaeosauridae","Deinonychus",13935,54555,"William Foster",NA,"English","dinosauria","valid","Carbon County, Montana","USA","USA","Peabody Museum, Yale Univeristy","YPM 5205","morphological characteristics","Greek","","","","","","antirrhopus (greek), counterbalancing, in reference to the unusual adaptation of the cordial vertebrae","morphological characteristics","Greek","","","","","","Deinos (greek) terrible, onyx (greek) claw","USA","USA","",FALSE,"","Deinonychus","sp"
"Delapparentia turolensis","Delapparentia turolensis","Ruiz-Omeñaca",2011,"J. I. Ruiz-Omeñaca. 2011. Delapparentia turolensis nov. gen et sp., un nuevo dinosaurio iguanodontoideo (Ornithischia: Ornithopoda) en el Cretácico Inferior de Galve [Delapparentia turolensis nov. gen et sp., a new iguanodontoid dinosaur(Ornithischia: Ornithopoda) from the Lower Cretaceous of Galve (Spain)]. Estudios Geológicos 67(1):83-110","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Delapparentia",43708,251720,"William Foster",NA,"Spanish","dinosauria","valid","La  Maca  3,  Galve,  Teruel","Spain","Spain","Museo Provincial de Teruel, Iguanodon,Galve","MPT/I.G","location/geography","Latin","","","","","","Dedicado a la provincia de Teruel, una de las másricas  en  restos  de  dinosaurios  en  España,  de  la  que  procede  elholotipo. También el nombre específico es un reconocimiento ala  revista  Teruel,  en  la  que  se  publicaron  las  primeras  descripciones  de  los  restos  de  Delapparentia turolensis(Lapparent,1960; Buscalioni & Sanz, 1984).","person","","Albert  Félix  de  Lapparent","male","based on paper","France","retrieved from external source","dedicado  a  Albert  Félix  de  Lapparent  (1905-1975),  que  estudió  el  esqueleto  de  La  Maca  3  y  fue  pioneroen  el  estudio  de  los  dinosaurios  españoles,  publicando  en1960 la primera monografía sobre el tema en España, concre-tamente  el  trabajo  «Los  dos  dinosaurios  de  Galve»  en  larevista Teruel(Lapparent, 1960) (véase Bordet, 1977 y Alca-lá, 2005).","Spain","Spain","",FALSE,"","Delapparentia","sp"
"Delatorrichnus goyenechei","Delatorrichnus goyenechei","Casamiquela",1964,"R. M. Casamiquela. 1964. Estudios Icnológicos. Gobierno de la Provincia de Río Negro, Ministerior de Asuntos Sociales, Buenos Aires","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Delatorrichnus",33371,141035,"William Foster","","","trace","","","","","","","person","","","","","","","","","","","","","","","","","","",FALSE,"","Delatorrichnus","sp"
"Deltadromeus agilis","Deltadromeus agilis","Sereno et al.",1996,"P. C. Sereno, D. B. Dutheil, and M. Iarochene, H. C. E. Larsson, G. H. Lyon, P. M. Magwene, C. A. Sidor, D. J. Varricchio, J. A. Wilson. 1996. Predatory dinosaurs from the Sahara and Late Cretaceous faunal differentiation. Science 272:986-991","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deltadromeus",7098,65367,"William Foster",NA,"","dinosauria","valid","Er Remlia, Gara es Sbaa, Aoufous Fm","Morocco","Morocco","Ministere de l'Energie et des Mines, Rabat, Morocco","SGM-Din 2","behavioural characteristics","Latin","","","","","","quick (Latin)","environmental conditions","Greek","","","","","","delta (Greek); dromeus, runner (Greek)","USA; France; Morocco; USA; USA; USA; USA; USA; USA","USA; France; Morocco; USA; USA; USA; USA; USA; USA","",FALSE,"","Deltadromeus","sp"
"Deltapodus brodricki","Deltapodus brodricki","Whyte and Romano",1995,"M. A. Whyte and M. Romano. 1995. Probable sauropod footprints from the Middle Jurassic of Yorkshire, England.  In M. G. Lockley, V. F. dos Santos, C. A. Meyer, A. P. Hunt (eds.), Aspects of Sauropod Paleobiology. GAIA 10:15-26","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deltapodus",17774,81830,"William Foster",NA,"English","trace","valid","700m west Whitby East Pier","UK","UK","University of Sheffield","F00768","person","","Harold Brodrick","male","assumed from ending","UK","inferred from paper","he was the first to descibe footprints from Whitby","morphological characteristics","Greek","","","","","","due to triangle shape of foot","UK; UK","UK; UK","",FALSE,"","Deltapodus","sp"
"Deltapodus ibericus","Deltapodus ibericus","Cobos et al.",2010,"Cobos, A., RoyoeTorres, R., Luque, L., Alcala, L., Mapel, L., 2010. An Iberian stegosaurian paradise: the Villar del Arzbispo Formation (TithonianeBerriasian) in Teruel (Spain). Palaeogeography, Palaeoclimatology, Palaeoecology 293, 223e236. ","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deltapodus",51112,294823,"William Foster",NA,"English","trace","valid","El Castellar site (CT-1), Municipal area of El Castellar, Province of Teruel, Aragón (Spain).","Spain","in situ","Legally protected as a Palaeontological Area by the Aragón Government","1CA (CPT-4292 is a cast)","location/geography","Latin","","","","","","ibericus, from the outstanding dinosaur ichnites record of the Iberian Peninsula","morphological characteristics","Greek","","","","","","due to triangle shape of foot","Spain; Spain; Spain; Spain; Spain","Spain; Spain; Spain; Spain; Spain","",FALSE,"PBDB reference was wrong so I changed it","Deltapodus","sp"
"Deltapodus curriei","Deltapodus curriei","Xing et al.",2013,"L. Xing, M. G. Lockley, and R. T. McCrea, G. D. Gierlinski, L. G. Buckley, J. Zhang, L. Qi, C. Jia. 2013. First record of Deltapodus tracks from the Early Cretaceous of China. Cretaceous Research 42(1):55-65","Chordata","Ornithischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deltapodus",51112,294822,"William Foster",NA,"English","trace","valid","Huangyangquan track site, Wuerhe, Xinjiang Uyghur Autonomous Region, China.","China","in situ","The original specimens remain in the field.","MGCM.SA2m and SA2p","person","N/A","Dr. Philip J. Currie","male","assumed from ending","Canada","retrieved from external source","","morphological characteristics","Greek","","","","","","due to triangle shape of foot","China; USA; Canada; Poland; Canada; China; China; China","China; USA; Canada; Poland; Canada; China; China; China","",FALSE,"","Deltapodus","sp"
"Demandasaurus darwini","Demandasaurus darwini","Torcida Fernández-Baldor et al.",2011,"F. Torcida Fernández-Baldor, J. I. Canudo, and P. Huerta, D. Montero, X. Pereda Suberbiola, L. Salgado. 2011. Demandasaurus darwini, a new rebbachisaurid sauropod from the Early Cretaceous of the Iberian Peninsula. Acta Palaeontologica Polonica 56(3):535-552","Chordata","Saurischia","NO_ORDER_SPECIFIED","Rebbachisauridae","Demandasaurus",37926,202270,"Thomas Halliday","","English","dinosauria","valid","Upper section of the Castrillo de la Reina Formation","Spain","Spain","Museo de Dinosaurios, Salas de los Infantes","MDS-RVII 275, 332, and many others","person","N/A","Charles Darwin","male","assumed from ending","UK","retrieved from external source","British naturalist","location/geography","","","","","","","The Sierra de la Demanda, the mountain chain where the specimen was from","Spain; Spain; Spain; Spain; Spain; Argentina","Spain; Spain; Spain; Spain; Spain; Argentina","",FALSE,"","Demandasaurus","sp"
"Denversaurus schlessmani","Edmontonia longiceps","Bakker",1988,"R. T. Bakker. 1988. Review of the Late Cretaceous nodosaurid Dinosauria: Denversaurus schlessmani, a new armor-plated dinosaur from the latest Cretaceous of South Dakota, the last survivor of the nodosaurians, with comments on stegosaur-nodosaur relationships. Hunteria 1(3):1-23","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Nodosauridae","Denversaurus",14876,NA,"Nussaïbah B. Raja","","","","junior","South Dakota","USA","USA","Denver Museum of Nature and Science","DMNH 468","person","","Lee E. Schlessman","male","assumed from ending","USA","retrieved from external source","a major benefactor of the museum and the founder of the Schlessman Family Foundation","company/corporation","","","","","","","Named for the Denver Museum of Natural History, where the specimen was reposited","USA","USA","",TRUE,"Genus from Creisler's Dinosauria Translation Guide","Denversaurus","sp"
"Deuterotetrapous triassicus","Deuterotetrapous triassicus","Nopcsa",1923,"B. F. Nopcsa. 1923. Die Familien der Reptilien [The families of reptiles]. Forschritte der Geologie und Palaeontologie. Verlag von Gebrüder Borntraeger, Berlin 2:1-210","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deuterotetrapous",19324,85810,"Nussaïbah B. Raja","","","trace","","","","","","","","","","","","","","","","","","","","","","","","","",FALSE,"","Deuterotetrapous","sp"
"Deuterotetrapous plancus","Deuterotetrapous plancus","Sarjeant",1967,"W. A. S. Sarjeant. 1967. Fossil footprints from the Middle Triassic of Nottinghamshire and Derbyshire. The Mercian Geologist 2:327-341","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Deuterotetrapous",62424,355051,"Thomas Halliday","","English","trace","","Dale Abbey, Stanton-by-Dale","UK","UK","Nottingham University Geological Department","PC 3307","morphological characteristics","","","","","","","""flat footed""","morphological characteristics","Greek","","","","","","""Second four-toed foot""","Canada","Canada","",FALSE,"","Deuterotetrapous","sp"
"Dgkhansaurus maarri","Dgkhansaurus maarri","Malkani",2019,"M. S. Malkani. 2019. Recently discovered basilosaurid, baluchithere rhinoceros, horses, sea cow, proboscidean, eucrocodile, pterosaurs, plesiosaur, fishes, invertebrates and wood fossils, tracks and trackways of dinosaurs from Pakistan; comparison of recognized four titanosaur taxa of Indo-Pakistan with Madagascar. Open Journal of Geology 9(12):919-955","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dgkhansaurus",73834,437617,"Thomas Halliday","","English","trace","","Maarri peak, Rajanpur, Dera Ghazi Khan, Punjab","Pakistan","Pakistan","","","location/geography","","","","","","","Named for the Maarri locality","location/geography","","","","","","","Named for Dera Ghazi Khan, the city in Pakistan commonly known as DG Khan.","Pakistan","Pakistan","",FALSE,"","Dgkhansaurus","sp"
"Diabloceratops eatoni","Diabloceratops eatoni","Kirkland and Deblieux",2010,"J. I. Kirkland and D. D. Deblieux. 2010. New basal centrosaurine ceratopsian skulls from the Wahweap Formation (middle Campanian), Grand Staircase-Escalante National Monument, southern Utah.  In M. J. Ryan, B. J. Chinnery-Allgeier, D. A. Eberth (eds.), New Perspectives on Horned Dinosaurs: The Royal Tyrrell Museum Ceratopsian Symposium. Indiana University Press, Bloomington","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Diabloceratops",33418,170569,"Thomas Halliday","","English","dinosauria","valid","42Ka800V, Grand Staircase-Escalante","USA","USA","Utah Museum of Natural History","UMNH VP 16699","person","N/A","Jeffery G Eaton","male","based on paper","USA","explicitly stated in paper","A paleontologist at Weber State University, Utah, and for his role in establishing the Grand Staircase Escalante National Monument","folklore/religion","Spanish","","","","","","""Devil lizard"", in reference to the pair of horns on the frill, resembling common depictions of Satan","USA; USA","USA; USA","",FALSE,"","Diabloceratops","sp"
"Diamantinasaurus matildae","Diamantinasaurus matildae","Hocknull et al.",2009,"S. A. Hocknull, M. A. White, and T. R. Tischler, A. G. Cook, N. D. Calleja, T. Sloan, D. A. Elliot. 2009. New mid-Cretaceous (latest Albian) dinosaurs from Winton, Queensland, Australia. PLoS ONE 4(7):e6190: 1-51","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Diamantinasaurus",30242,148969,"William Foster","urn:lsid:zoobank.org:act:6BE2173E-5438-4F9A-8978-745C3379F90D","","dinosauria","valid","“Matilda Site”, Elderslie Station, approximately 60 km north-west of Winton, western central Queensland, Australia.","Australia","Australia","Australian Age of Dinosaurs Fossil","AODF 603","other","N/A","","","","","","For Matilda, in reference to “Waltzing Matilda”, one of Australia's National songs, written by Banjo Patterson in Winton (“Matilda Country”) in 1895. [NB - a 'matilda' is a swagbag carried over the shoulder by an itinerant worker, not a person]","location/geography","","","","","","","Diamantina, in reference to the Diamantina River which runs near the type locality. sauros, Greek for lizard.","Australia; Australia; Australia; Australia; Australia; Australia","Australia; Australia; Australia; Australia; Australia; Australia","",FALSE,"","Diamantinasaurus","sp"
"Diceratops hatcheri","Triceratops horridus","Hatcher and Lull",1905,"J. B. Hatcher and R. S. Lull. 1905. Two new Ceratopsia from the Laramie of Converse County, Wyoming. The American Journal of Science, series 4 20(120):413-419","Chordata","Ornithischia","NO_ORDER_SPECIFIED","Ceratopsidae","Diceratops",14728,NA,"Nussaïbah B. Raja","","","","junior","Lance Formation","USA","USA","United States National Museum","USNM 2412","person","","John Bell Hatcher","male","assumed from ending","USA","retrieved from external source","famed fossil hunter who discovered it","morphological characteristics","Greek","","","","","","""two-horned face""","USA;USA","USA;USA","",TRUE,"Genus from Creisler's Dinosauria Translation Guide","Diceratops","sp"
"Dicraeosaurus hansemanni","Dicraeosaurus hansemanni","Janensch",1914,"W. Janensch. 1914. Übersicht über die Wirbeltierfauna der Tendaguru-Schichten [Overview of the vertebrate fauna of the Tendaguru beds]. Archiv für Biontologie 3:81-110","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Dicraeosaurus",36770,65941,"Thomas Halliday","","","dinosauria","valid","Tendaguru quarry, Kindope","Tanzania","Germany","Humboldt Museum","""m""","person","","David Paul von Hansemann","","","Germany","retrieved from external source","Noted pathologist who was involved in organising the Tendaguru expedition","morphological characteristics","Greek","","","","","","""Double-headed lizard""","Germany","Germany","",FALSE,"","Dicraeosaurus","sp"
"Dicraeosaurus sattleri","Dicraeosaurus sattleri","Janensch",1914,"W. Janensch. 1914. Übersicht über die Wirbeltierfauna der Tendaguru-Schichten [Overview of the vertebrate fauna of the Tendaguru beds]. Archiv für Biontologie 3:81-110","Chordata","Saurischia","NO_ORDER_SPECIFIED","Dicraeosauridae","Dicraeosaurus",36770,65942,"Thomas Halliday","","","dinosauria","valid","Tendaguru quarry, Kindope","Tanzania","Germany","Humboldt Museum","""M""","person","","W.B. Sattler","","","Germany","retrieved from external source","Discoverer of the Tendaguru site while prospecting in Tanzania. ","morphological characteristics","Greek","","","","","","""Double-headed lizard""","Germany","Germany","",FALSE,"","Dicraeosaurus","sp"
"Dictyoolithus hongpoensis","Dictyoolithus hongpoensis","Zhao",1994,"Z.-K. Zhao. 1994. In K. Carpenter, K. F. Hirsch, and J. R. Horner (eds.), Dinosaur Eggs and Babies, Cambridge University Press, Cambridge.  In K. Carpenter, K. F. Hirsch, and J. R. Horner (eds.), Dinosaur Eggs and Babies, Cambridge University Press, Cambridge","Chordata","Reptilia","Eosuchia","Dictyoolithidae","Dictyoolithus",14213,67199,"William Foster","","","trace","","","","","","","location/geography","","","","","","","","","","","","","","","","","","",FALSE,"","Dictyoolithus","sp"
"Didactylornis jii","Sapeornis chaoyangensis","Yuan",2008,"C. Yuan. 2008. A new genus and species of Sapeornithidae from Lower Cretaceous in western Liaoning, China. Acta Geologica Sinica 82(1):48-55","Chordata","Aves","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Didactylornis",30690,NA,"Nussaïbah B. Raja","","","","junior","Jiufotang Formation","China","China","Changzhou Dinosaur Park of China","CDPC-02-08-001","person","","Qiang Ji","male","assumed from ending","China","inferred from paper","in honor of Professor Qiang Ji for his studies of the Mesozoic Jehol Biota and the origin of birds in China.","morphological characteristics","Greek","","","","","","""two-fingered bird""","China","China","",TRUE,"Genus etymology from Holtz (2011) appendix","Didactylornis","sp"
"Dilong paradoxus","Dilong paradoxus","Xu et al.",2004,"X. Xu, M. A. Norell, and X. Kuang, X. Wang, Q. Zhao, C. Jin. 2004. Basal tyrannosauroids from China and evidence for protofeathers in tyrannosauroids. Nature 431:680-684","Chordata","Saurischia","Avetheropoda","NO_FAMILY_SPECIFIED","Dilong",11729,58836,"William Foster","","","dinosauria","valid","Lujiatun, Beipiao, western Liaoning","China","China","Institute of Vertebrate Paleontology and Paleoanthropology, Beijing","IVPP V14243","morphological characteristics","Latin","","","","","","The specific name refers to the surprising characters of this animal","other","Chinese","","","","","","The generic name is derived from Chinese di (emperor) + long (dragon). ","USA (XX); China (XX); USA (MAN); China (XK); China (XW); China (QZ); China (CJ)","USA (XX); China (XX); USA (MAN); China (XK); China (XW); China (QZ); China (CJ)","",FALSE,"","Dilong","sp"
"Dilophosauripus williamsi","Dilophosauripus williamsi","Welles",1971,"S. P. Welles. 1971. Dinosaur footprints from the Kayenta Formation of northern Arizona. Plateau 44(1):27-38","Chordata","Saurischia","NO_ORDER_SPECIFIED","Grallatoridae","Dilophosauripus",41101,231459,"William Foster","","","trace","","","","","","","person","","","","","","","","","","","","","","","","","","",FALSE,"","Dilophosauripus","sp"
"Dilophosaurus","","Welles",1954,"S. P. Welles. 1954. New Jurassic dinosaur from the Kayenta Formation of Arizona. Bulletin of the Geological Society of America 65:591-598","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus",13844,NA,"","","","","","","","","","","","","","","","","","","morphological characteristics","Greek","","","","","","""Double-crested reptile"", in reference to its skull crests","USA","USA","",FALSE,"","Dilophosaurus","gen"
"Dilophosaurus wetherilli","Dilophosaurus wetherilli","Welles",1954,"S. P. Welles. 1954. New Jurassic dinosaur from the Kayenta Formation of Arizona. Bulletin of the Geological Society of America 65:591-598","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus",13844,57251,"William Foster",NA,"English","dinosauria","valid","Cameron-Tuba City highway on old road to Moenave, Coconino, Arizona","USA","USA","Universit of California, Museum of Paleontology","UCMP V4214","person","","John Wetherill","male","assumed from ending","USA","explicitly stated in paper","John Wetherill of Kayenta, explorer, friend of scientists, and trusted trader and counseler to the Navaho, whose Nephew, Milton, first told us of the specimen","morphological characteristics","Greek","","","","","","""Double-crested reptile"", in reference to its skull crests","USA","USA","",FALSE,"possible case study","Dilophosaurus","sp"
"Dilophosaurus sinensis","Sinosaurus sinensis","Hu",1993,"S. Hu. 1993. [A new Theropoda (Dilophosaurus sinensis sp. nov.) from Yunnan, China]. Vertebrata PalAsiatica 31(1):65-69","Chordata","Saurischia","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED","Dilophosaurus",7052,NA,"Nussaïbah B. Raja","","","","recombined","","","","","","","","","","","","","","morphological characteristics","Greek","","","","","","""Double-crested reptile"", in reference to its skull crests","China","China","",FALSE,"","Dilophosaurus","sp"
